Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
CAN,CAN_C30,1.182047031,0.310870267,1.492917298,Output Multiplier,Dimensionless
CAN,CAN_C31T33,1.034618876,0.603325466,1.637944341,Output Multiplier,Dimensionless
CAN,CAN_D,1.003580611,0.71499408,1.718574691,Output Multiplier,Dimensionless
CAN,CAN_E,1.065061092,1.019404487,2.084465579,Output Multiplier,Dimensionless
CAN,CAN_F,1.007547985,0.238471159,1.246019144,Output Multiplier,Dimensionless
CAN,CAN_G,1.031728066,0.608157493,1.63988556,Output Multiplier,Dimensionless
CAN,CAN_H49,1.189777745,0.881285926,2.071063671,Output Multiplier,Dimensionless
CAN,CAN_H50,1.00160475,0.166710648,1.168315398,Output Multiplier,Dimensionless
CAN,CAN_H51,1.001725968,0.117753578,1.119479547,Output Multiplier,Dimensionless
CAN,CAN_H52,1.024087546,1.239054729,2.263142275,Output Multiplier,Dimensionless
CAN,CAN_H53,1.02230409,1.291029389,2.313333478,Output Multiplier,Dimensionless
CAN,CAN_I,1.006553261,0.358131425,1.364684685,Output Multiplier,Dimensionless
CAN,CAN_J58T60,1.09873882,0.628643599,1.727382419,Output Multiplier,Dimensionless
CAN,CAN_J61,1.097970885,0.559826487,1.657797373,Output Multiplier,Dimensionless
CAN,CAN_J62_63,1.126081903,0.790676236,1.916758138,Output Multiplier,Dimensionless
CAN,CAN_K,1.318357231,0.750794959,2.06915219,Output Multiplier,Dimensionless
CAN,CAN_L,1.021204474,0.227422095,1.248626568,Output Multiplier,Dimensionless
CAN,CAN_M,1.091785271,1.137034531,2.228819802,Output Multiplier,Dimensionless
CAN,CAN_N,1.06338576,1.162725362,2.226111122,Output Multiplier,Dimensionless
CAN,CAN_O,1.022546588,0.099916384,1.122462971,Output Multiplier,Dimensionless
CAN,CAN_P,1.003458704,0.079141046,1.08259975,Output Multiplier,Dimensionless
CAN,CAN_Q,1.051092175,0.169420203,1.220512377,Output Multiplier,Dimensionless
CAN,CAN_R,1.033943392,0.338626507,1.3725699,Output Multiplier,Dimensionless
CAN,CAN_S,1.009243128,0.506706415,1.515949543,Output Multiplier,Dimensionless
CAN,CAN_T,1,0,1,Output Multiplier,Dimensionless
CAN,CAN_A01_02,128833.5438,2656797.634,2785631.178,Compensation (USD per million USD output),USD per million USD
CAN,CAN_A03,185260.4903,155878.1978,341138.6881,Compensation (USD per million USD output),USD per million USD
